Ward_code,Ward,Borough,Life_Expectancy,Childhood_Obesity,Incapacity_Benefit,Unemployment_Rate,Crime_Rate,Deliberate_Fires,GCSE_points,Unauthorised_Absence,Dependent_children,Public_Transport_Access,Homes_with_access,Wellbeing_score
E05000202,Highlands,Enfield,84.91816503,18.82716049,2.26744186,3.026043916,46.77049573,0.224719101,358.3769231,0.910243902,13.39622642,2.707157819,0.705904621,7.4
E05000203,Jubilee,Enfield,80.65307763,24.08376963,2.150537634,9.071014682,77.51238397,0.618556701,329.7643216,1.528530729,27.56097561,2.473449432,9.840274274,7.4
E05000204,Lower Edmonton,Enfield,81.11690875,29.47658402,2.355769231,11.13237581,67.48697624,0.600600601,326.4782443,2.163450292,33.24074074,3.228453307,2.571679674,7.4
E05000205,Palmers Green,Enfield,83.35324437,23.65853659,1.761904762,5.451420418,88.79472761,0.580645161,359.4291429,1.041093574,14.7826087,2.535936755,-4.446611215,7.4
E05000206,Ponders End,Enfield,80.43960591,30.01808318,2.056074766,13.0463318,81.05753717,0.731707317,326.2864198,1.582415959,27.97979798,3.326026914,6.874875809,7.4
E05000207,Southbury,Enfield,82.95794257,23.09197652,2.279792746,7.876600934,92.22333504,0.810810811,332.015625,1.512873862,26.27906977,3.066652967,4.399491453,7.2
E05000208,Southgate,Enfield,82.57652942,16.4893617,1.472081218,4.194254142,64.06522143,0.13559322,368.7573529,0.812224109,14.09090909,3.142023072,-3.436684469,7.4
E05000209,Southgate Green,Enfield,83.00047139,22.25433526,1.534391534,4.315048278,69.3432128,0.211267606,368.7910569,0.903057905,13,3.889899695,-3.413105715,7.4
E05000210,Town,Enfield,83.98534308,20.08733624,1.538461538,3.906758576,52.02304252,0.264900662,362.5804469,0.703829558,12.3943662,2.5584276,-5.484265467,7.2
E05000211,Turkey Street,Enfield,80.32787487,27.08333333,2.47311828,9.547595356,107.3768008,0.753424658,329.7009709,2.011227255,33.13953488,2.490118594,0.177143483,7.2
E05000212,Upper Edmonton,Enfield,77.45796811,28.5046729,2.307692308,11.74016423,118.5859263,0.997229917,327.3966245,2.003893866,28.61111111,3.403512614,-1.231414738,7.4
E05000213,Winchmore Hill,Enfield,82.09262051,19.71830986,1.5,3.799806703,64.7442149,0.147058824,374.6683761,0.711769115,8.305084746,2.943532078,-5.747874943,7.4
E05000214,Abbey Wood,Greenwich,79.09735516,29.50310559,2.807881773,8.72114354,96.7738236,0.877742947,352.1237288,1.200871143,26.12244898,3.066134612,7.886665386,7.9
E05000215,Blackheath Westcombe,Greenwich,81.57718529,23.29545455,1.797752809,3.268591202,92.39768699,0.381679389,372.1947368,1.223903819,11.96078431,3.425645527,-2.662993575,7.7
E05000216,Charlton,Greenwich,78.22239318,27.34177215,2.694300518,7.278217972,68.8195107,0.689655172,353.1234043,1.434559643,22.16216216,4.02930493,1.054258009,7.7
E05000217,Coldharbour and New Eltham,Greenwich,81.2542959,22.66288952,1.860465116,4.774117296,61.64329919,0.45112782,352.2155738,0.84552139,16.20689655,2.867917014,-3.932330364,7.7
E05000218,Eltham North,Greenwich,83.90139214,14.36619718,1.165644172,3.949008914,71.63905113,0.078431373,371.3506667,0.720939597,9.090909091,2.884989902,-0.890859341,7.7
E05000219,Eltham South,Greenwich,82.44537675,25.36764706,1.647727273,4.990986999,74.66627948,0.387596899,357.877551,1.205190592,21.17647059,3.340033238,5.210684012,7.7
E05000220,Eltham West,Greenwich,79.22066661,20.59620596,2.105263158,6.065591638,73.00195956,0.436681223,349.2391892,1.550099141,23.16666667,3.05843072,-3.133290454,7.7
E05000221,Glyndon,Greenwich,77.02255547,24.28298279,2.039215686,10.08838953,68.07487686,1.525885559,328.6470899,1.755232558,23.87755102,3.995407262,1.035008736,7.9
E05000222,Greenwich West,Greenwich,81.08838184,25.90163934,1.621621622,5.187617763,100.9706414,0.455840456,351.5734043,1.441476015,20.39473684,4.597634696,9.537784379,7.7
E05000223,Kidbrooke with Hornfair,Greenwich,81.4409602,24.30555556,2.436548223,6.868095144,79.75639804,0.827586207,360.0902985,1.600838926,24.55882353,2.554345294,-1.572014595,7.7
E05000224,Middle Park and Sutcliffe,Greenwich,81.63655338,24.06947891,2.816091954,8.099237519,84.51792487,0.727272727,353.0532258,1.834136546,27.82608696,2.26976918,-0.323641248,7.7
E05000225,Peninsula,Greenwich,81.36287498,19.40298507,1.448275862,4.243959888,115.2700737,0.361757106,357.3294118,1.445023328,15.13157895,4.52817859,3.526370255,7.7
